pedido_id,data_pedido,cliente_id,regiao,canal,categoria,produto,quantidade,preco_unitario,desconto_pct,custo_unitario,receita_bruta,receita_liquida,custo_total,lucro,margem_pct,mes
PED-01141,2025-01-11,CLI-0391,Centro-Oeste,Loja fisica,Esporte,Garrafa Termica,3,79.9,0.1,29.0,239.70000000000002,215.73000000000002,87.0,128.73000000000002,59.67181198720623,2025-01
PED-01234,2025-01-11,CLI-0065,Nordeste,Marketplace,Esporte,Garrafa Termica,1,79.9,0.0,29.0,79.9,79.9,29.0,50.900000000000006,63.7046307884856,2025-01
PED-00279,2025-01-12,CLI-0203,Nordeste,Site,Eletronicos,Teclado,1,189.9,0.1,91.0,189.9,170.91,91.0,79.91,46.75560236381721,2025-01
PED-00635,2025-01-12,CLI-0096,Sul,Site,Escritorio,Cadeira,1,899.9,0.15,510.0,899.9,764.915,510.0,254.91499999999996,33.32592510278919,2025-01
PED-00903,2025-01-12,CLI-0163,Centro-Oeste,Site,Esporte,Tapete Yoga,1,109.9,0.0,44.0,109.9,109.9,44.0,65.9,59.96360327570519,2025-01
PED-01027,2025-01-12,CLI-0175,Sudeste,Site,Escritorio,Suporte Notebook,2,119.9,0.0,48.0,239.8,239.8,96.0,143.8,59.966638865721436,2025-01
PED-01492,2025-01-13,CLI-0354,Nordeste,Site,Eletronicos,Fone Bluetooth,3,149.9,0.1,72.0,449.70000000000005,404.7300000000001,216.0,188.73000000000008,46.631087391594406,2025-01
PED-00861,2025-01-14,CLI-0406,Norte,Site,Escritorio,Suporte Notebook,2,119.9,0.0,48.0,239.8,239.8,96.0,143.8,59.966638865721436,2025-01
PED-01063,2025-01-14,CLI-0233,Sudeste,Marketplace,Eletronicos,Webcam HD,2,229.9,0.05,118.0,459.8,436.81,236.0,200.81,45.97193287699458,2025-01
PED-00598,2025-01-15,CLI-0247,Nordeste,Site,Esporte,Kit Faixas,1,69.9,0.05,25.0,69.9,66.405,25.0,41.405,62.352232512612005,2025-01
PED-00727,2025-01-15,CLI-0427,Nordeste,Site,Escritorio,Suporte Notebook,2,119.9,0.05,48.0,239.8,227.81,96.0,131.81,57.85961985865414,2025-01
PED-01465,2025-01-15,CLI-0175,Sudeste,Marketplace,Escritorio,Suporte Notebook,3,119.9,0.05,48.0,359.70000000000005,341.71500000000003,144.0,197.71500000000003,57.85961985865414,2025-01
PED-00690,2025-01-16,CLI-0285,Sul,Site,Escritorio,Suporte Notebook,4,119.9,0.1,48.0,479.6,431.64000000000004,192.0,239.64000000000004,55.51848762857937,2025-01
PED-00731,2025-01-16,CLI-0174,Sul,Marketplace,Escritorio,Cadeira,5,899.9,0.0,510.0,4499.5,4499.5,2550.0,1949.5,43.327036337370814,2025-01
PED-01287,2025-01-16,CLI-0076,Centro-Oeste,Site,Eletronicos,Webcam HD,3,229.9,0.1,118.0,689.7,620.73,354.0,266.73,42.97037359238317,2025-01
PED-01398,2025-01-16,CLI-0126,Sudeste,Marketplace,Casa,Organizador,5,59.9,0.0,22.0,299.5,299.5,110.0,189.5,63.272120200333895,2025-01
PED-01480,2025-01-16,CLI-0083,Centro-Oeste,Site,Escritorio,Suporte Notebook,4,119.9,0.0,48.0,479.6,479.6,192.0,287.6,59.966638865721436,2025-01
PED-00700,2025-01-17,CLI-0210,Sudeste,Site,Esporte,Tapete Yoga,1,109.9,0.0,44.0,109.9,109.9,44.0,65.9,59.96360327570519,2025-01
PED-00433,2025-01-18,CLI-0151,Norte,Site,Casa,Cafeteira,1,249.9,0.1,130.0,249.9,224.91,130.0,94.91,42.19910186296741,2025-01
PED-01190,2025-01-18,CLI-0061,Nordeste,Marketplace,Esporte,Garrafa Termica,2,79.9,0.0,29.0,159.8,159.8,58.0,101.80000000000001,63.7046307884856,2025-01
PED-00265,2025-01-19,CLI-0429,Centro-Oeste,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.1,72.0,149.9,134.91,72.0,62.91,46.63108739159439,2025-01
PED-00469,2025-01-19,CLI-0299,Sudeste,Marketplace,Escritorio,Suporte Notebook,4,119.9,0.0,48.0,479.6,479.6,192.0,287.6,59.966638865721436,2025-01
PED-00718,2025-01-19,CLI-0048,Sudeste,Site,Casa,Luminaria,2,89.9,0.0,39.0,179.8,179.8,78.0,101.80000000000001,56.61846496106786,2025-01
PED-00728,2025-01-19,CLI-0331,Nordeste,Site,Escritorio,Mochila,2,219.9,0.0,102.0,439.8,439.8,204.0,235.8,53.61527967257844,2025-01
PED-00801,2025-01-19,CLI-0377,Nordeste,Marketplace,Casa,Organizador,2,59.9,0.1,22.0,119.8,107.82,44.0,63.81999999999999,59.19124466703766,2025-01
PED-01047,2025-01-19,CLI-0144,Sudeste,Marketplace,Casa,Cafeteira,5,249.9,0.15,130.0,1249.5,1062.075,650.0,412.07500000000005,38.79904903137726,2025-01
PED-01366,2025-01-19,CLI-0459,Sudeste,Marketplace,Esporte,Tapete Yoga,1,109.9,0.15,44.0,109.9,93.415,44.0,49.415000000000006,52.898356794947276,2025-01
PED-01448,2025-01-19,CLI-0178,Sul,Loja fisica,Eletronicos,Teclado,4,189.9,0.05,91.0,759.6,721.62,364.0,357.62,49.557939081511044,2025-01
PED-00181,2025-01-20,CLI-0030,Centro-Oeste,Site,Escritorio,Mochila,1,219.9,0.0,102.0,219.9,219.9,102.0,117.9,53.61527967257844,2025-01
PED-00451,2025-01-20,CLI-0203,Sul,Site,Casa,Organizador,2,59.9,0.05,22.0,119.8,113.80999999999999,44.0,69.80999999999999,61.339073895088305,2025-01
PED-00577,2025-01-20,CLI-0450,Sudeste,Marketplace,Eletronicos,Fone Bluetooth,2,149.9,0.05,72.0,299.8,284.81,144.0,140.81,49.439977528878906,2025-01
PED-00902,2025-01-20,CLI-0236,Sudeste,Site,Eletronicos,Webcam HD,1,229.9,0.0,118.0,229.9,229.9,118.0,111.9,48.67333623314485,2025-01
PED-01132,2025-01-20,CLI-0122,Sul,Marketplace,Escritorio,Cadeira,1,899.9,0.0,510.0,899.9,899.9,510.0,389.9,43.327036337370814,2025-01
PED-01301,2025-01-20,CLI-0149,Nordeste,Marketplace,Eletronicos,Teclado,3,189.9,0.0,91.0,569.7,569.7,273.0,296.70000000000005,52.0800421274355,2025-01
PED-00135,2025-01-21,CLI-0159,Sudeste,Site,Casa,Organizador,1,59.9,0.05,22.0,59.9,56.904999999999994,22.0,34.904999999999994,61.339073895088305,2025-01
PED-00491,2025-01-21,CLI-0281,Sudeste,Site,Casa,Luminaria,2,89.9,0.0,39.0,179.8,179.8,78.0,101.80000000000001,56.61846496106786,2025-01
PED-00833,2025-01-21,CLI-0188,Centro-Oeste,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-01
PED-00851,2025-01-21,CLI-0072,Sudeste,Site,Esporte,Tapete Yoga,2,109.9,0.05,44.0,219.8,208.81,88.0,120.81,57.8564245007423,2025-01
PED-00883,2025-01-21,CLI-0043,Nordeste,Site,Esporte,Tapete Yoga,2,109.9,0.05,44.0,219.8,208.81,88.0,120.81,57.8564245007423,2025-01
PED-01017,2025-01-21,CLI-0268,Nordeste,Site,Esporte,Garrafa Termica,1,79.9,0.05,29.0,79.9,75.905,29.0,46.905,61.7943481984059,2025-01
PED-00046,2025-01-22,CLI-0158,Centro-Oeste,Loja fisica,Escritorio,Mochila,2,219.9,0.0,102.0,439.8,439.8,204.0,235.8,53.61527967257844,2025-01
PED-00217,2025-01-22,CLI-0373,Sul,Site,Esporte,Garrafa Termica,2,79.9,0.0,29.0,159.8,159.8,58.0,101.80000000000001,63.7046307884856,2025-01
PED-00704,2025-01-22,CLI-0450,Sul,Marketplace,Eletronicos,Teclado,1,189.9,0.0,91.0,189.9,189.9,91.0,98.9,52.08004212743549,2025-01
PED-01449,2025-01-22,CLI-0054,Norte,Marketplace,Eletronicos,Teclado,2,189.9,0.0,91.0,379.8,379.8,182.0,197.8,52.08004212743549,2025-01
PED-00684,2025-01-23,CLI-0131,Nordeste,Site,Eletronicos,Webcam HD,2,229.9,0.05,118.0,459.8,436.81,236.0,200.81,45.97193287699458,2025-01
PED-00814,2025-01-23,CLI-0028,Sudeste,Site,Esporte,Tapete Yoga,1,109.9,0.05,44.0,109.9,104.405,44.0,60.405,57.8564245007423,2025-01
PED-00825,2025-01-23,CLI-0021,Sul,Marketplace,Casa,Organizador,4,59.9,0.0,22.0,239.6,239.6,88.0,151.6,63.272120200333895,2025-01
PED-01463,2025-01-23,CLI-0115,Nordeste,Site,Esporte,Garrafa Termica,3,79.9,0.0,29.0,239.70000000000002,239.70000000000002,87.0,152.70000000000002,63.7046307884856,2025-01
PED-00313,2025-01-24,CLI-0474,Norte,Loja fisica,Casa,Organizador,3,59.9,0.0,22.0,179.7,179.7,66.0,113.69999999999999,63.272120200333895,2025-01
PED-00512,2025-01-24,CLI-0460,Nordeste,Site,Escritorio,Mochila,2,219.9,0.05,102.0,439.8,417.81,204.0,213.81,51.17397860271416,2025-01
PED-00514,2025-01-24,CLI-0475,Sudeste,Marketplace,Casa,Organizador,1,59.9,0.05,22.0,59.9,56.904999999999994,22.0,34.904999999999994,61.339073895088305,2025-01
PED-01393,2025-01-24,CLI-0420,Norte,Marketplace,Eletronicos,Webcam HD,3,229.9,0.0,118.0,689.7,689.7,354.0,335.70000000000005,48.67333623314485,2025-01
PED-01494,2025-01-24,CLI-0038,Sudeste,Site,Escritorio,Mochila,2,219.9,0.0,102.0,439.8,439.8,204.0,235.8,53.61527967257844,2025-01
PED-00287,2025-01-25,CLI-0126,Sudeste,Site,Eletronicos,Webcam HD,2,229.9,0.05,118.0,459.8,436.81,236.0,200.81,45.97193287699458,2025-01
PED-01298,2025-01-25,CLI-0162,Nordeste,Site,Eletronicos,Teclado,5,189.9,0.0,91.0,949.5,949.5,455.0,494.5,52.08004212743549,2025-01
PED-01372,2025-01-25,CLI-0156,Norte,Site,Eletronicos,Webcam HD,3,229.9,0.0,118.0,689.7,689.7,354.0,335.70000000000005,48.67333623314485,2025-01
PED-00133,2025-01-26,CLI-0467,Sudeste,Marketplace,Esporte,Tapete Yoga,1,109.9,0.1,44.0,109.9,98.91000000000001,44.0,54.91000000000001,55.515114750783546,2025-01
PED-00147,2025-01-26,CLI-0403,Centro-Oeste,Loja fisica,Casa,Organizador,2,59.9,0.15,22.0,119.8,101.83,44.0,57.83,56.790729647451634,2025-01
PED-00167,2025-01-26,CLI-0346,Norte,Site,Eletronicos,Fone Bluetooth,1,149.9,0.05,72.0,149.9,142.405,72.0,70.405,49.439977528878906,2025-01
PED-00437,2025-01-26,CLI-0202,Sudeste,Loja fisica,Escritorio,Mochila,1,219.9,0.0,102.0,219.9,219.9,102.0,117.9,53.61527967257844,2025-01
PED-00673,2025-01-26,CLI-0345,Sudeste,Site,Casa,Luminaria,2,89.9,0.0,39.0,179.8,179.8,78.0,101.80000000000001,56.61846496106786,2025-01
PED-00043,2025-01-27,CLI-0048,Sudeste,Loja fisica,Escritorio,Mochila,2,219.9,0.1,102.0,439.8,395.82,204.0,191.82,48.46142185842049,2025-01
PED-00979,2025-01-27,CLI-0171,Norte,Marketplace,Casa,Luminaria,2,89.9,0.1,39.0,179.8,161.82000000000002,78.0,83.82000000000002,51.79829440118651,2025-01
PED-01031,2025-01-27,CLI-0104,Nordeste,Marketplace,Escritorio,Suporte Notebook,4,119.9,0.1,48.0,479.6,431.64000000000004,192.0,239.64000000000004,55.51848762857937,2025-01
PED-01189,2025-01-27,CLI-0061,Sul,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-01
PED-00111,2025-01-28,CLI-0097,Sudeste,Marketplace,Eletronicos,Teclado,3,189.9,0.0,91.0,569.7,569.7,273.0,296.70000000000005,52.0800421274355,2025-01
PED-01320,2025-01-28,CLI-0048,Sul,Site,Casa,Organizador,4,59.9,0.0,22.0,239.6,239.6,88.0,151.6,63.272120200333895,2025-01
PED-01418,2025-01-28,CLI-0360,Nordeste,Site,Eletronicos,Fone Bluetooth,2,149.9,0.05,72.0,299.8,284.81,144.0,140.81,49.439977528878906,2025-01
PED-00010,2025-01-29,CLI-0118,Sul,Loja fisica,Casa,Organizador,1,59.9,0.05,22.0,59.9,56.904999999999994,22.0,34.904999999999994,61.339073895088305,2025-01
PED-00230,2025-01-29,CLI-0426,Nordeste,Site,Casa,Cafeteira,1,249.9,0.1,130.0,249.9,224.91,130.0,94.91,42.19910186296741,2025-01
PED-00278,2025-01-29,CLI-0233,Nordeste,Site,Esporte,Garrafa Termica,4,79.9,0.0,29.0,319.6,319.6,116.0,203.60000000000002,63.7046307884856,2025-01
PED-00288,2025-01-29,CLI-0072,Sudeste,Site,Casa,Organizador,1,59.9,0.1,22.0,59.9,53.91,22.0,31.909999999999997,59.19124466703766,2025-01
PED-00524,2025-01-29,CLI-0103,Nordeste,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-01
PED-00832,2025-01-29,CLI-0264,Sul,Marketplace,Eletronicos,Teclado,3,189.9,0.05,91.0,569.7,541.215,273.0,268.21500000000003,49.55793908151105,2025-01
PED-01060,2025-01-29,CLI-0155,Sudeste,Site,Eletronicos,Fone Bluetooth,1,149.9,0.1,72.0,149.9,134.91,72.0,62.91,46.63108739159439,2025-01
PED-00033,2025-01-30,CLI-0297,Sudeste,Site,Esporte,Garrafa Termica,1,79.9,0.0,29.0,79.9,79.9,29.0,50.900000000000006,63.7046307884856,2025-01
PED-00218,2025-01-30,CLI-0039,Sudeste,Site,Esporte,Tapete Yoga,2,109.9,0.1,44.0,219.8,197.82000000000002,88.0,109.82000000000002,55.515114750783546,2025-01
PED-00416,2025-01-30,CLI-0415,Sul,Marketplace,Casa,Cafeteira,4,249.9,0.05,130.0,999.6,949.62,520.0,429.62,45.24125439649544,2025-01
PED-00457,2025-01-30,CLI-0128,Norte,Site,Eletronicos,Fone Bluetooth,1,149.9,0.1,72.0,149.9,134.91,72.0,62.91,46.63108739159439,2025-01
PED-01453,2025-01-30,CLI-0122,Nordeste,Marketplace,Escritorio,Suporte Notebook,1,119.9,0.0,48.0,119.9,119.9,48.0,71.9,59.966638865721436,2025-01
PED-00360,2025-01-31,CLI-0142,Sul,Site,Eletronicos,Fone Bluetooth,5,149.9,0.05,72.0,749.5,712.025,360.0,352.025,49.4399775288789,2025-01
PED-01377,2025-01-31,CLI-0109,Norte,Site,Casa,Organizador,1,59.9,0.15,22.0,59.9,50.915,22.0,28.915,56.790729647451634,2025-01
PED-01059,2025-02-01,CLI-0470,Norte,Site,Eletronicos,Teclado,1,189.9,0.0,91.0,189.9,189.9,91.0,98.9,52.08004212743549,2025-02
PED-01159,2025-02-01,CLI-0137,Sudeste,Site,Esporte,Tapete Yoga,2,109.9,0.0,44.0,219.8,219.8,88.0,131.8,59.96360327570519,2025-02
PED-00023,2025-02-02,CLI-0174,Norte,Marketplace,Esporte,Kit Faixas,1,69.9,0.0,25.0,69.9,69.9,25.0,44.900000000000006,64.2346208869814,2025-02
PED-00344,2025-02-02,CLI-0296,Nordeste,Loja fisica,Casa,Luminaria,3,89.9,0.1,39.0,269.70000000000005,242.73000000000005,117.0,125.73000000000005,51.79829440118652,2025-02
PED-00388,2025-02-02,CLI-0135,Sudeste,Marketplace,Eletronicos,Webcam HD,3,229.9,0.0,118.0,689.7,689.7,354.0,335.70000000000005,48.67333623314485,2025-02
PED-00622,2025-02-02,CLI-0480,Sul,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-02
PED-00913,2025-02-02,CLI-0325,Nordeste,Site,Esporte,Tapete Yoga,1,109.9,0.1,44.0,109.9,98.91000000000001,44.0,54.91000000000001,55.515114750783546,2025-02
PED-01473,2025-02-02,CLI-0226,Nordeste,Marketplace,Eletronicos,Webcam HD,4,229.9,0.05,118.0,919.6,873.62,472.0,401.62,45.97193287699458,2025-02
PED-00096,2025-02-03,CLI-0206,Sudeste,Marketplace,Eletronicos,Webcam HD,4,229.9,0.0,118.0,919.6,919.6,472.0,447.6,48.67333623314485,2025-02
PED-00719,2025-02-03,CLI-0150,Sudeste,Site,Esporte,Garrafa Termica,3,79.9,0.1,29.0,239.70000000000002,215.73000000000002,87.0,128.73000000000002,59.67181198720623,2025-02
PED-00876,2025-02-03,CLI-0155,Sudeste,Marketplace,Eletronicos,Webcam HD,1,229.9,0.0,118.0,229.9,229.9,118.0,111.9,48.67333623314485,2025-02
PED-00685,2025-02-04,CLI-0199,Sudeste,Marketplace,Escritorio,Cadeira,1,899.9,0.1,510.0,899.9,809.91,510.0,299.90999999999997,37.03004037485647,2025-02
PED-00783,2025-02-04,CLI-0007,Centro-Oeste,Marketplace,Escritorio,Mochila,1,219.9,0.0,102.0,219.9,219.9,102.0,117.9,53.61527967257844,2025-02
PED-00863,2025-02-04,CLI-0307,Sudeste,Marketplace,Casa,Cafeteira,1,249.9,0.0,130.0,249.9,249.9,130.0,119.9,47.979191676670666,2025-02
PED-00891,2025-02-04,CLI-0256,Sudeste,Loja fisica,Casa,Cafeteira,1,249.9,0.0,130.0,249.9,249.9,130.0,119.9,47.979191676670666,2025-02
PED-01420,2025-02-04,CLI-0001,Nordeste,Loja fisica,Eletronicos,Webcam HD,2,229.9,0.0,118.0,459.8,459.8,236.0,223.8,48.67333623314485,2025-02
PED-00793,2025-02-05,CLI-0277,Nordeste,Site,Esporte,Tapete Yoga,1,109.9,0.1,44.0,109.9,98.91000000000001,44.0,54.91000000000001,55.515114750783546,2025-02
PED-01104,2025-02-05,CLI-0200,Sul,Loja fisica,Casa,Cafeteira,1,249.9,0.0,130.0,249.9,249.9,130.0,119.9,47.979191676670666,2025-02
PED-00638,2025-02-06,CLI-0279,Sudeste,Site,Eletronicos,Fone Bluetooth,1,149.9,0.05,72.0,149.9,142.405,72.0,70.405,49.439977528878906,2025-02
PED-00830,2025-02-06,CLI-0198,Sul,Site,Esporte,Kit Faixas,2,69.9,0.1,25.0,139.8,125.82000000000001,50.0,75.82000000000001,60.260689874423775,2025-02
PED-00062,2025-02-07,CLI-0234,Centro-Oeste,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-02
PED-01313,2025-02-07,CLI-0115,Centro-Oeste,Marketplace,Eletronicos,Webcam HD,1,229.9,0.05,118.0,229.9,218.405,118.0,100.405,45.97193287699458,2025-02
PED-00029,2025-02-08,CLI-0227,Sudeste,Loja fisica,Esporte,Garrafa Termica,1,79.9,0.0,29.0,79.9,79.9,29.0,50.900000000000006,63.7046307884856,2025-02
PED-00178,2025-02-08,CLI-0091,Sul,Marketplace,Casa,Organizador,1,59.9,0.05,22.0,59.9,56.904999999999994,22.0,34.904999999999994,61.339073895088305,2025-02
PED-00317,2025-02-08,CLI-0175,Sudeste,Marketplace,Escritorio,Cadeira,1,899.9,0.0,510.0,899.9,899.9,510.0,389.9,43.327036337370814,2025-02
PED-00493,2025-02-08,CLI-0371,Sudeste,Loja fisica,Esporte,Garrafa Termica,4,79.9,0.05,29.0,319.6,303.62,116.0,187.62,61.7943481984059,2025-02
PED-01305,2025-02-08,CLI-0079,Sudeste,Loja fisica,Esporte,Garrafa Termica,1,79.9,0.05,29.0,79.9,75.905,29.0,46.905,61.7943481984059,2025-02
PED-00276,2025-02-09,CLI-0470,Sudeste,Site,Eletronicos,Teclado,1,189.9,0.05,91.0,189.9,180.405,91.0,89.405,49.557939081511044,2025-02
PED-00772,2025-02-09,CLI-0436,Sudeste,Site,Eletronicos,Webcam HD,2,229.9,0.0,118.0,459.8,459.8,236.0,223.8,48.67333623314485,2025-02
PED-01487,2025-02-09,CLI-0469,Centro-Oeste,Marketplace,Esporte,Tapete Yoga,1,109.9,0.05,44.0,109.9,104.405,44.0,60.405,57.8564245007423,2025-02
PED-00020,2025-02-10,CLI-0044,Sudeste,Loja fisica,Casa,Cafeteira,1,249.9,0.05,130.0,249.9,237.405,130.0,107.405,45.24125439649544,2025-02
PED-00175,2025-02-10,CLI-0203,Sul,Marketplace,Eletronicos,Fone Bluetooth,1,149.9,0.0,72.0,149.9,149.9,72.0,77.9,51.96797865243495,2025-02
PED-00259,2025-02-10,CLI-0178,Sul,Marketplace,Casa,Luminaria,1,89.9,0.15,39.0,89.9,76.415,39.0,37.415000000000006,48.96289995419748,2025-02
PED-00444,2025-02-10,CLI-0203,Sul,Marketplace,Esporte,Kit Faixas,3,69.9,0.0,25.0,209.70000000000002,209.70000000000002,75.0,134.70000000000002,64.2346208869814,2025-02
PED-00589,2025-02-10,CLI-0312,Norte,Site,Esporte,Garrafa Termica,1,79.9,0.0,29.0,79.9,79.9,29.0,50.900000000000006,63.7046307884856,2025-02
PED-00603,2025-02-10,CLI-0347,Sul,Marketplace,Escritorio,Cadeira,3,899.9,0.0,510.0,2699.7,2699.7,1530.0,1169.6999999999998,43.327036337370814,2025-02
PED-00670,2025-02-10,CLI-0400,Norte,Marketplace,Escritorio,Cadeira,2,899.9,0.05,510.0,1799.8,1709.81,1020.0,689.81,40.34424877617981,2025-02
PED-01342,2025-02-10,CLI-0293,Centro-Oeste,Marketplace,Casa,Cafeteira,2,249.9,0.0,130.0,499.8,499.8,260.0,239.8,47.979191676670666,2025-02
PED-01442,2025-02-10,CLI-0066,Sudeste,Site,Esporte,Kit Faixas,1,69.9,0.0,25.0,69.9,69.9,25.0,44.900000000000006,64.2346208869814,2025-02
PED-00154,2025-02-11,CLI-0165,Sudeste,Site,Esporte,Kit Faixas,4,69.9,0.0,25.0,279.6,279.6,100.0,179.60000000000002,64.2346208869814,2025-02
PED-00795,2025-02-11,CLI-0431,Sudeste,Marketplace,Eletronicos,Webcam HD,2,229.9,0.15,118.0,459.8,390.83,236.0,154.82999999999998,39.61568968605276,2025-02
PED-00215,2025-02-12,CLI-0373,Centro-Oeste,Site,Esporte,Tapete Yoga,4,109.9,0.0,44.0,439.6,439.6,176.0,263.6,59.96360327570519,2025-02
PED-00966,2025-02-12,CLI-0149,Sudeste,Site,Casa,Luminaria,2,89.9,0.05,39.0,179.8,170.81,78.0,92.81,54.33522627480827,2025-02
